['247943797', '110046304', '软件工程综合实践']
['247774755', '109666309', '马克思主义基本原理']
['246720226', '107257793', 'Python程序设计Ⅱ']
['246292172', '106245916', '卫生与健康教育课程']
['245193947', '105645877', '工程材料与信息技术导论（科学广场）-积分']
['245696104', '104821513', '操作系统课程设计']
['245695959', '104821110', '操作系统Ⅰ']
['245193978', '103551137', '计算机接口技术']
['245163852', '103472067', '软件工程Ⅰ']
['245157770', '103455802', '毛泽东思想和中国特色社会主义理论体系概论实践']
['244899465', '102735075', '数字图像处理Ⅰ']
['244899449', '102735035', '数字图像处理Ⅰ实践']
['244619247', '101991625', '编译原理Ⅰ']
['229652469', '101637904', '藕舫学院数学建模竞赛实验班']
['243771656', '99962073', '毛中特选课指导试听课程（板块3：周一9-11）']
['242711035', '97338543', '形势与政策']
['243702828', '99786823', 't']
['243150137', '98390047', '创新创业基础']
['243071058', '98189829', '计算机网络实践']
['243004720', '98028717', '计算机安全导论']
['242653694', '97186607', '数据库系统原理课程设计(22)']
['242326178', '96357531', '计算机组成与体系结构课程设计']
['229652469', '94405609', '藕舫学院数学建模竞赛实验班']
['241200126', '93376381', '算法设计与分析']
['240959109', '92735244', '计算机网络Ⅰ']
['240916001', '92547774', '计算机网络Ⅰ']
['240833320', '92307638', 'Java程序设计Ⅱ']
['240873780', '92421686', '数据库系统原理Ⅰ(22)']
['240845574', '92339496', '计算机组成与体系结构']
['239529177', '88886152', '数据结构课程设计']
['238023398', '85049171', '数学建模综合实训']
['236923031', '82291078', '面向对象程序设计实践']
['236736112', '81795286', '电子技术基础Ⅰ']
['236222206', '80579044', '数据结构']
['236237840', '80460565', '数据结构Ⅰ']
['236130747', '80188875', '劳动实践（2）']
['236068206', '80027360', '面向对象程序设计Ⅱ']
['233801697', '75220777', '形势与政策2022-2023年度（下）']
['233783609', '75162153', '校科协信息技术部2023']
['233632648', '75143163', '专业劳动']
['222666289', '73478264', '中国共产党简史']
['232972288', '73010762', 'R语言编程基础']
['232789706', '72532428', '离散数学']
['232789706', '72483915', '离散数学']
['232755952', '72390241', '劳动实践（1）']
['232691281', '72199190', '中国近现代史纲要2022-2023-2']
['232670579', '72135735', '大气科学概论']
['232662050', '72113185', '心理健康教育']
['232643254', '72064772', '概率统计']
['232631516', '72035631', '大学物理Ⅱ（1）']
['219514764', '63177783', '快乐体育']
['242153294', '95887811', '古希腊哲学']
['242153314', '95887834', '艺术美学']
['236323676', '84863248', '面向对象程序设计Ⅱ']
['236888981', '82204968', '大学生心理健康与发展']
['236161344', '80709909', '大学物理2-(23-24第1学期)']
['236163801', '80331041', '大学物理实验I（1）']
['230263438', '67242063', '2022-2023年度第一学期\xa0形势与政策']
['227507517', '64729276', '运动塑身']
['229076900', '64604345', '大学生职业生涯规划（2022入学版）']
['228390864', '62970729', '思想道德修养与法律基础']
['228345191', '62872002', '2022级通用英语1']
['228346994', '62875773', '程序设计基础']
['227706347', '61396583', '线性代数']
['227311802', '60441646', '专业导论']
['227311798', '60441635', '计算机导论']
['227130399', '60069903', '高等数学Ⅰ（1）2022-2023-1学期']
['248608564', '111590153', '上北健之家']
